Marca,Modelo,Año,Versión,Color,Tipo de combustible,Motor,tiene_camara,Kilómetros,Precio,Tipo de vendedor,HP,is_4x4,is_manual,is_coupe
33,83,2020.0,350,14,3,1.6,1.0,92000.0,20400.0,0,110.0,0,1,0
33,82,2022.0,346,2,3,1.6,0.0,13000.0,33900.0,0,120.0,0,0,0
5,97,2025.0,81,14,0,2.8,1.0,0.0,47600.0,2,200.0,1,0,0
11,28,2008.0,105,19,3,1.6,0.0,155000.0,7360.0,0,110.0,0,1,0
33,82,2024.0,346,11,3,1.4,1.0,1111.0,30800.0,0,150.0,0,0,0
11,28,2015.0,108,23,3,2.0,0.0,130000.0,12000.0,1,143.0,0,1,0
6,10,2018.0,90,19,3,1.2,1.0,113000.0,12000.0,1,165.0,0,0,0
28,26,2013.0,273,22,3,2.0,0.0,132400.0,11920.0,0,138.0,1,1,0
5,96,2024.0,73,14,3,1.2,0.0,1000.0,28480.0,2,132.0,1,0,0
25,43,2020.0,228,14,3,1.6,0.0,69000.0,19200.0,0,120.0,1,0,0
17,19,2021.0,161,4,3,2.4,1.0,101000.0,26800.0,2,170.0,0,0,0
13,40,2016.0,126,4,3,1.8,1.0,101000.0,19500.0,1,121.0,0,0,0
28,26,2018.0,275,22,3,2.0,1.0,110500.0,15800.0,1,143.0,1,1,0
11,28,2018.0,103,5,3,1.5,1.0,61561.0,18787.0,0,123.0,0,1,0
8,42,2010.0,93,19,3,2.7,1.0,180000.0,12500.0,1,280.0,1,0,0
33,82,2022.0,346,4,3,1.4,1.0,37400.0,32000.0,0,150.0,0,0,0
28,26,2018.0,275,14,3,1.6,0.0,68052.0,13760.0,0,110.0,0,1,0
11,46,2011.0,113,2,3,2.5,1.0,155500.0,12240.0,0,123.0,1,0,0
4,92,2018.0,59,14,3,2.0,1.0,89000.0,14400.0,1,127.0,1,0,0
4,92,2017.0,58,14,3,2.0,1.0,78000.0,14500.0,1,143.0,0,1,0
28,26,2012.0,271,15,3,1.6,0.0,227000.0,10320.0,0,110.0,0,1,0
11,28,2018.0,107,2,3,1.5,0.0,103060.0,15600.0,2,123.0,0,1,0
11,46,2013.0,114,4,3,2.5,0.0,182000.0,13900.0,1,180.0,1,1,0
17,69,2025.0,168,14,3,1.3,1.0,0.0,29512.0,0,170.0,0,0,0
23,14,2018.0,212,15,3,1.6,0.0,78000.0,34000.0,0,156.0,1,0,0
28,11,2017.0,266,22,3,2.0,1.0,101250.0,15840.0,2,143.0,0,1,0
5,6,2007.0,61,14,0,2.8,0.0,227000.0,11000.0,1,200.0,0,1,0
26,1,2018.0,251,2,0,2.0,1.0,97000.0,28000.0,1,170.0,1,0,0
1,65,2025.0,12,14,2,3.0,0.0,0.0,151900.0,2,333.0,1,0,0
3,102,2021.0,30,4,3,2.0,0.0,34000.0,46000.0,1,192.0,1,1,0
28,26,2014.0,269,14,3,1.6,0.0,135000.0,11320.0,0,110.0,0,1,0
32,47,2009.0,329,14,0,3.0,0.0,180000.0,22400.0,0,171.0,0,0,0
13,22,2013.0,121,19,3,2.4,0.0,183000.0,20500.0,1,185.0,1,0,0
28,26,2019.0,275,19,3,1.6,1.0,130000.0,14400.0,1,110.0,0,1,0
34,110,2021.0,358,4,3,2.0,0.0,45400.0,72000.0,0,240.0,1,0,0
32,20,2022.0,318,14,3,2.0,0.0,76600.0,27600.0,2,170.0,0,0,0
28,26,2015.0,275,19,3,1.6,1.0,84000.0,14000.0,0,110.0,0,1,0
20,74,2022.0,183,14,3,1.6,0.0,17000.0,27120.0,0,132.0,0,0,0
5,96,2014.0,73,4,3,1.8,0.0,139000.0,12900.0,1,140.0,0,1,0
17,19,2025.0,162,4,3,1.3,1.0,0.0,36400.0,2,170.0,0,0,0
4,91,2025.0,57,14,3,1.5,1.0,0.0,28360.0,0,150.0,1,0,0
33,54,2024.0,345,14,3,1.0,1.0,0.0,21520.0,2,116.0,0,0,0
17,69,2025.0,169,4,3,1.3,1.0,0.0,27680.0,2,170.0,0,0,0
33,94,2010.0,355,19,3,2.0,0.0,165500.0,12800.0,1,200.0,1,0,0
3,102,2024.0,24,4,3,2.0,0.0,0.0,62900.0,2,204.0,1,1,0
11,28,2020.0,107,4,0,1.5,0.0,73000.0,17400.0,2,123.0,0,1,0
32,68,2014.0,336,14,2,2.0,0.0,168343.0,17296.0,2,138.0,0,0,0
32,20,2022.0,317,19,2,1.8,1.0,70000.0,27200.0,0,170.0,0,0,0
28,26,2019.0,275,14,3,1.6,1.0,117000.0,15120.0,0,110.0,0,1,0
33,82,2025.0,346,14,3,1.4,1.0,0.0,29840.0,2,150.0,0,0,0
9,25,2022.0,96,14,3,1.6,1.0,57200.0,54000.0,0,300.0,1,0,0
25,43,2018.0,228,14,3,1.6,1.0,69000.0,21040.0,1,120.0,1,0,0
17,19,2025.0,162,19,3,1.3,1.0,0.0,36400.0,2,170.0,0,0,0
11,28,2018.0,106,4,3,1.5,0.0,100000.0,15500.0,0,123.0,0,1,0
17,19,2018.0,161,4,3,2.4,1.0,80000.0,20400.0,0,170.0,0,1,0
5,29,2020.0,66,23,3,1.5,1.0,50800.0,29200.0,0,123.0,1,0,0
11,28,2017.0,106,23,3,1.6,0.0,95000.0,12560.0,0,110.0,0,1,0
33,83,2023.0,350,22,3,1.6,0.0,23000.0,20800.0,2,110.0,0,0,0
5,96,2023.0,73,4,3,1.2,1.0,70000.0,22000.0,0,132.0,1,0,0
5,96,2023.0,75,5,3,1.2,1.0,13520.0,24000.0,2,132.0,1,0,0
28,11,2019.0,268,22,3,2.0,1.0,91000.0,16900.0,2,143.0,0,1,0
11,86,2025.0,115,4,3,1.8,1.0,0.0,39680.0,2,105.0,1,0,0
33,83,2019.0,348,14,3,1.6,0.0,67669.0,20400.0,0,110.0,0,1,0
32,47,2011.0,329,4,0,4.0,0.0,222620.0,34500.0,0,265.0,0,0,0
25,43,2020.0,229,23,3,1.6,0.0,130000.0,18800.0,0,120.0,0,1,0
17,101,2025.0,175,19,3,2.0,1.0,0.0,124900.0,2,272.0,1,0,1
17,35,1999.0,164,19,0,3.1,0.0,111111.0,6500.0,1,286.0,1,1,0
3,102,2022.0,30,14,3,2.0,1.0,34000.0,43000.0,1,192.0,1,1,0
5,96,2025.0,73,4,3,1.2,1.0,0.0,25480.0,2,132.0,1,0,0
6,10,2019.0,91,22,3,1.6,1.0,126990.0,16400.0,0,165.0,0,0,0
17,69,2018.0,170,19,2,1.8,0.0,84454.0,15576.0,2,140.0,0,1,0
33,83,2025.0,348,14,3,1.0,1.0,0.0,24792.0,2,101.0,0,0,0
5,96,2025.0,73,14,3,1.2,1.0,0.0,22494.0,2,132.0,1,0,0
