Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Con cámara de retroceso,Kilómetros,Precio,Tipo de vendedor,HP,Tracción
chevrolet,tracker,2025.0,ltz,Rojo,Nafta,5.0,automatica,1.2,1,0.0,24400.0,tienda,132.0,4x4
fiat,pulse,2022.0,drive gse,Negro,Nafta,5.0,manual,1.3,1,47500.0,19600.0,concesionaria,110.0,4x2
ford,ecosport,2014.0,se,Blanco,Nafta,5.0,manual,1.6,0,150000.0,11999.0,concesionaria,110.0,4x2
ford,broncosport,2024.0,wildtrak at8,Celeste,Nafta,5.0,automatica,1.5,1,0.0,36000.0,tienda,110.0,4x4
kia,sorento,2016.0,ex,Gris plata,Diésel,5.0,automatica,2.2,1,149000.0,26000.0,particular,132.0,4x2
renault,koleos,2014.0,expression,Gris plata,Nafta,5.0,manual,2.5,0,119000.0,14500.0,particular,110.0,4x2
suzuki,grandvitara,2008.0,jiii,Gris plata,Nafta,5.0,manual,2.0,1,192000.0,11000.0,particular,110.0,4x4
jeep,grandcherokee,2013.0,overland,Negro,Nafta,5.0,automatica,3.6,1,150000.0,25000.0,particular,286.0,4x4
volkswagen,tiguan,2019.0,sport style tsi,Blanco,Nafta,5.0,automatica,1.4,0,60000.0,30000.0,concesionaria,150.0,4x4
nissan,kicks,2024.0,exclusive,Blanco,Nafta,5.0,automatica,1.6,1,5808.0,28800.0,tienda,120.0,4x4
renault,duster,2013.0,luxe nav,Azul,Nafta,5.0,manual,2.0,0,105000.0,13700.0,concesionaria,138.0,4x4
chevrolet,tracker,2018.0,ltz,Gris plata,Nafta,5.0,manual,1.8,1,90000.0,19900.0,concesionaria,140.0,4x4
bmw,x5,2007.0,d executive stept,Negro,Nafta,5.0,manual,4.8,0,195456.0,18500.0,concesionaria,306.0,4x4
volkswagen,tiguan,2010.0,sport style tsi,Gris plata,Nafta,5.0,automatica,2.0,0,170000.0,9600.0,particular,200.0,4x4
ford,territory,2022.0,ecoboost titanium,Blanco,Nafta,5.0,automatica,1.5,0,86000.0,31000.0,concesionaria,143.0,4x2
ford,ecosport,2013.0,se,Rojo,Nafta,5.0,manual,1.6,0,105000.0,5600.0,concesionaria,110.0,4x2
ford,ecosport,2020.0,freestyle,Blanco,Nafta,5.0,manual,1.5,1,82000.0,18400.0,particular,123.0,4x2
jeep,compass,2025.0,t270 series,Blanco,Nafta,5.0,automatica,1.3,1,1000.0,42000.0,concesionaria,272.0,4x2
jeep,cherokee,2005.0,limited,Gris plata,Nafta,5.0,manual,3.7,0,260000.0,11600.0,particular,205.0,4x2
bmw,x3,2019.0,m40i mperformance,Negro,Nafta,5.0,manual,2.0,1,49000.0,99990.0,particular,184.0,4x4
ford,ecosport,2020.0,se,Rojo,Nafta,5.0,manual,1.5,0,42571.0,18000.0,concesionaria,123.0,4x2
chevrolet,tracker,2025.0,,Gris plata,Nafta,5.0,automatica,1.2,0,0.0,21360.0,tienda,132.0,4x4
peugeot,2008,2022.0,active,Gris plata,Nafta,5.0,manual,1.6,1,45000.0,19992.0,particular,120.0,4x2
volkswagen,taos,2023.0,250 tsi comfortline,Gris plata,Nafta,5.0,automatica,1.4,1,0.0,38000.0,concesionaria,150.0,4x2
bmw,x1,2019.0,sdrive 20i sportline,Gris plata,Nafta,5.0,manual,2.0,1,88000.0,35000.0,particular,192.0,4x4
